ATR|XLV|f|5284|42.52|11328414
ATRC|XLV|f|3876|16.05|3127849
ATRO|XLI|f|5247|12.83|2558012
ATS|XLI|f|2174|9.97|38225
ATSN|XLK|t|1589|11.54|5599810
ATTL|XLC|t|597|2.54|764856
ATTU|XLK|t|4613|27.45|1165480
ATUS|XLC|f|889|22.74|112754290
ATW|XLE|t|4469|22.45|22003364
ATX|XLY|t|3485|7.37|170401
ATY|XLK|f|541|2.00|332653
ATYT|XLK|t|1713|12.42|41553854
AUB|XLF|f|5205|14.38|2054715
AUD|XLC|f|4552|637.20|249079404
AUG|XLB|f|1319|2.36|366433
AUO|XLK|t|4363|5.51|11948376
AUQ|XLB|t|2978|7.81|9459532
AURDQ|XLY|t|1219|7.60|1906330
AUSPF|XLE|t|1841|1.50|34495
AUTH|XLK|t|1331|4.91|1649987
AUTN|XLK|t|1126|55.01|1028804
AUTO|XLK|f|5279|43.84|4091061
AUY|XLB|f|4455|7.39|60251832
AVA|XLU|f|5284|15.77|6192989
AVAL|XLF|f|1581|3.42|897561
AVAV|XLI|f|3512|36.32|9394020
AVB|XLRE|f|5284|73.60|58474016
AVCT|XLK|f|640|122.15|18433989
AVCTW|XLK|f|520|0.34|39850
AVDO|XLY|t|1308|0.59|77152
AVG|XLK|t|1209|18.86|9772746
AVGO|XLK|f|2872|11.20|317727141
AVID|XLK|f|5284|18.12|9070423
AVLR|XLK|f|642|79.95|75002666
AVNS|XLV|f|1561|40.04|16925950
AVNT|XLB|f|5284|14.38|8047561
AVNU|XLE|t|348|14.78|581391
AVNX|XLK|t|2319|3118.94|73976916015
AVP|XLB|t|5033|16.97|63692170
AVT|XLK|f|5283|24.37|25724580
AVTR|XLV|f|411|18.58|79013309
AVY|XLY|f|5284|45.68|31738040
AVYA|XLK|f|764|16.06|26247936
AWE|XLC|t|1130|13.35|122675834
AWI|XLI|f|3581|42.50|20316872
AWK|XLU|f|3197|48.77|47250897
AWR|XLU|f|5284|22.33|4430239
AWS|XLY|t|1858|2.43|21336
AX|XLF|f|3945|13.76|9381273
AXGN|XLV|f|4475|6.75|2064030
AXIA|XLU|f|4328|4.32|2359011
AXL|XLY|f|5284|16.07|19430145
AXLL|XLB|t|4192|7027.19|141279022
AXON|XLI|f|4924|19.51|44464920
AXP|XLF|f|5284|50.30|282092590
AXS|XLF|f|4408|29.03|20263651
AXSI|XLK|t|591|4.94|54167
AXSM|XLV|f|1288|23.33|16573731
AXSO|XLK|t|2321|1.35|193277
AXTA|XLB|f|1545|28.03|61024011
AXTI|XLK|f|5284|6.41|2170559
AXU|XLB|f|3698|2.77|1119679
AY|XLU|f|1651|15.30|8342727
AYA|XLK|t|920|1.29|8052
AYE|XLU|t|331|22.81|24067502
AYI|XLI|f|4807|78.63|38404630
AYRO|XLC|f|1609|71542.61|4073417
AYX|XLK|f|951|75.78|117965163
AZK|XLB|t|2489|3.54|1955433
AZN|XLV|f|5284|33.68|65417693
AZO|XLY|f|5284|367.19|143746162
AZPN|XLK|f|5284|33.96|17506387
AZRE|XLU|f|1054|15.71|936074
AZS|XLY|t|732|10.10|179409
AZTA|XLV|f|5284|17.22|9910864
AZTC|XLK|t|343|2.35|1215871
AZUR|XLU|t|838|12.50|971287
AZX|XLU|t|304|7.13|1810669
AZZ|XLI|f|5240|21.48|3537989
B|XLB|f|5284|14.64|143817909
